time_s,speed_mps
0.0,0.0
0.1,0.0
0.2,0.0
0.30000000000000004,0.0
0.4,0.0
0.5,0.0
0.6000000000000001,0.0
0.7000000000000001,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2000000000000002,0.0
1.3,0.0
1.4000000000000001,0.0
1.5,0.0
1.6,0.0
1.7000000000000002,0.0
1.8,0.0
1.9000000000000001,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3000000000000003,0.0
2.4000000000000004,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8000000000000003,0.0
2.9000000000000004,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3000000000000003,0.0
3.4000000000000004,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8000000000000003,0.0
3.9000000000000004,0.0
4.0,0.0
4.1000000000000005,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6000000000000005,0.0
4.7,0.0
4.800000000000001,0.0
4.9,0.0
5.0,0.0
5.1000000000000005,0.0
5.2,0.0
5.300000000000001,0.0
5.4,0.0
5.5,0.0
5.6000000000000005,0.0
5.7,0.0
5.800000000000001,0.0
5.9,0.0
6.0,0.0
6.1000000000000005,0.0
6.2,0.0
6.300000000000001,0.0
6.4,0.0
6.5,0.0
6.6000000000000005,0.0
6.7,0.0
6.800000000000001,0.0
6.9,0.0
7.0,0.0
7.1000000000000005,0.0
7.2,0.0
7.300000000000001,0.0
7.4,0.0
7.5,0.0
7.6000000000000005,0.0
7.7,0.0
7.800000000000001,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.200000000000001,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.700000000000001,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.200000000000001,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.600000000000001,0.0
9.700000000000001,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.100000000000001,0.0
10.200000000000001,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.600000000000001,0.0
10.700000000000001,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.100000000000001,0.0
11.200000000000001,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.600000000000001,0.0
11.700000000000001,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.100000000000001,0.0
12.200000000000001,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.600000000000001,0.0
12.700000000000001,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.100000000000001,0.0
13.200000000000001,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.600000000000001,0.0
13.700000000000001,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.100000000000001,0.0
14.200000000000001,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.600000000000001,0.0
14.700000000000001,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.100000000000001,0.0
15.200000000000001,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.600000000000001,0.0
15.700000000000001,0.0
15.8,0.0
15.9,0.0
16.0,0.0
16.1,0.0
16.2,0.0
16.3,0.0
16.400000000000002,0.0
16.5,0.0
16.6,0.0
16.7,0.0
16.8,0.0
16.900000000000002,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,0.0
17.400000000000002,0.0
17.5,0.0
17.6,0.0
17.7,0.0
17.8,0.0
17.900000000000002,0.0
18.0,0.0
18.1,0.0
18.2,0.0
18.3,0.0
18.400000000000002,0.0
18.5,0.0
18.6,0.0
18.7,0.0
18.8,0.0
18.900000000000002,0.0
19.0,0.0
19.1,0.0
19.200000000000003,0.0
19.3,0.0
19.400000000000002,0.0
19.5,0.0
19.6,0.0
19.700000000000003,0.0
19.8,0.0
19.900000000000002,0.0
20.0,0.0
20.1,0.078373029
20.200000000000003,0.177060446
20.3,0.293089269
20.400000000000002,0.423486517
20.5,0.565279209
20.6,0.715494365
20.700000000000003,0.871159003
20.8,1.029300142
20.900000000000002,1.186944801
21.0,1.34112
21.1,1.489452297
21.200000000000003,1.631966413
21.3,1.769286606
21.400000000000002,1.902037138
21.5,2.030842269
21.6,2.156326258
21.700000000000003,2.279113366
21.8,2.399827852
21.900000000000002,2.519093977
22.0,2.637536
22.1,2.755708758
22.200000000000003,2.873889392
22.3,2.992285619
22.400000000000002,3.111105154
22.5,3.230555715
22.6,3.35084502
22.700000000000003,3.472180783
22.8,3.594770723
22.900000000000002,3.718822557
23.0,3.844544
23.1,3.972044445
23.200000000000003,4.101039986
23.3,4.231148392
23.400000000000002,4.36198743
23.5,4.49317487
23.6,4.62432848
23.700000000000003,4.755066029
23.8,4.885005287
23.900000000000002,5.013764021
24.0,5.14096
24.1,5.266360788
24.200000000000003,5.390333126
24.3,5.513393551
24.400000000000002,5.636058599
24.5,5.758844806
24.6,5.882268709
24.700000000000003,6.006846843
24.8,6.133095746
24.900000000000002,6.261531952
25.0,6.392672
25.1,6.526620979
25.200000000000003,6.661838197
25.3,6.796371516
25.400000000000002,6.928268798
25.5,7.055577906
25.6,7.176346701
25.700000000000003,7.288623046
25.8,7.390454803
25.900000000000002,7.479889834
26.0,7.554976
26.1,7.614407777
26.200000000000003,7.659466087
26.3,7.692078465
26.400000000000002,7.714172448
26.5,7.72767557
26.6,7.734515366
26.700000000000003,7.736619372
26.8,7.735915122
26.900000000000002,7.734330153
27.0,7.733792
27.1,7.736109578
27.200000000000003,7.742617328
27.3,7.754531071
27.400000000000002,7.773066626
27.5,7.799439816
27.6,7.83486646
27.700000000000003,7.88056238
27.8,7.937743396
27.900000000000002,8.007625329
28.0,8.091424
28.1,8.189646646
28.200000000000003,8.299966168
28.3,8.419346884
28.400000000000002,8.544753112
28.5,8.673149168
28.6,8.801499371
28.700000000000003,8.926768038
28.8,9.045919487
28.900000000000002,9.155918035
29.0,9.253728
29.1,9.337120862
29.200000000000003,9.407096751
29.3,9.46546296
29.400000000000002,9.514026783
29.5,9.554595511
29.6,9.588976439
29.700000000000003,9.618976859
29.8,9.646404064
29.900000000000002,9.673065346
30.0,9.700768
30.1,9.730900339
30.200000000000003,9.763174765
30.3,9.7968847
30.400000000000002,9.831323566
30.5,9.865784787
30.6,9.899561785
30.700000000000003,9.931947983
30.8,9.962236803
30.900000000000002,9.989721667
31.0,10.013696
31.1,10.03360671
31.200000000000003,10.04951465
31.3,10.06163418
31.400000000000002,10.07017963
31.5,10.07536534
31.6,10.07740567
31.700000000000003,10.07651495
31.8,10.07290754
31.900000000000002,10.06679778
32.0,10.0584
32.1,10.04791241
32.2,10.03546857
32.300000000000004,10.02118592
32.4,10.00518187
32.5,9.987573849
32.6,9.968479282
32.7,9.94801559
32.800000000000004,9.926300197
32.9,9.903450526
33.0,9.879584
33.1,9.854818578
33.2,9.82927436
33.300000000000004,9.803071978
33.4,9.776332067
33.5,9.749175261
33.6,9.721722195
33.7,9.694093501
33.800000000000004,9.666409815
33.9,9.63879177
34.0,9.61136
34.1,9.584204449
34.2,9.557292295
34.300000000000004,9.530560027
34.4,9.503944134
34.5,9.477381105
34.6,9.450807427
34.7,9.424159589
34.800000000000004,9.397374079
34.9,9.370387387
35.0,9.343136
35.1,9.315633932
35.2,9.288205293
35.300000000000004,9.261251721
35.4,9.235174851
35.5,9.210376319
35.6,9.187257762
35.7,9.166220815
35.800000000000004,9.147667115
35.9,9.131998298
36.0,9.119616
36.1,9.110508337
36.2,9.103009348
36.300000000000004,9.095039553
36.4,9.08451947
36.5,9.069369618
36.6,9.047510517
36.7,9.016862685
36.800000000000004,8.975346643
36.9,8.920882908
37.0,8.851392
