,current_A,voltage_V,r0_ohms,temp_surface_C,temp_core_C_TARGET
mean,0.09831300856404063,3.79480638808197,0.010000000000000004,27.352479923855594,24.817005936910206
std,1.9007488280012177,0.31571119264446473,1.000000000346945e-08,14.80200156499586,13.97613470165892
