time_s,current_A,voltage_V,soc,temp_surface_C,temp_core_C,temp_ambient_C,heat_generation_W,power_W
0.0,0.0,3.9000000000000026,0.9,25.0,25.0,50.0,0.0,0.0
1.0,0.0,3.9000000000000026,0.9,25.10964722402099,25.000609163179433,50.0,0.0,0.0
2.0,0.0,3.8999519952305004,0.9000159734327376,25.216436173428747,25.002383706583714,50.0,0.0,0.0
3.0,0.0,3.8998956246587535,0.9000349409360915,25.320466647329056,25.00530125512779,50.0,0.0,0.0
4.0,-0.5562898704195288,3.90060873029502,0.9000067801987522,25.42183575061415,25.00937505103093,50.0,0.00033485874105044177,-2.1698691251330997
5.0,-1.5111788507496862,3.9020125337466403,0.8998982831295292,25.520639055862205,25.01462832336074,50.0,0.0031950108177589446,-5.896638816358119
6.0,-2.7516765736976523,3.904025476057069,0.8996935519322737,25.616970603337165,25.02109428803317,50.0,0.011920054133229205,-10.742615445585061
7.0,-3.640532032885359,3.905921998622471,0.8993939991058785,25.710922900988862,25.02881614781279,50.0,0.023765391350806436,-14.21963415393671
8.0,-4.277424799967794,3.907753905693408,0.8990183474442781,25.80258692445318,25.037847092312518,50.0,0.03736569349638133,-16.715123468383993
9.0,-4.7337784090603385,3.9094990881422644,0.8985991010764317,25.892052153093516,25.04824905153282,50.0,0.05159812343126383,-18.50670237368893
10.0,-5.060770058668498,3.911182474048248,0.8981467552664887,25.979407395123758,25.06001166412642,50.0,0.06597077530393684,-19.793595158652355
11.0,-5.295069813908918,3.912825345765221,0.8976676828930436,26.064736808181294,25.073073276563548,50.0,0.08026088312386305,-20.718683375459147
12.0,-5.462952924598454,3.9144343296904247,0.8971691983864221,26.148120798461036,25.08738875843295,50.0,0.09431859955076423,-21.384370469530896
13.0,-5.583246429924031,3.916012397955565,0.8966571268931909,26.229637141859598,25.10291434096041,50.0,0.10806524805920102,-21.864062240423657
14.0,-5.669440492948483,3.9175612479008017,0.8961358042761574,26.309360983975466,25.11960761700857,50.0,0.12147027766493117,-22.210380372454594
15.0,-5.7312012378910735,3.91908300704236,0.8956080771143696,26.387364840109058,25.13742754107699,50.0,0.13453954746269198,-22.461053381359044
16.0,-5.775454745406801,3.920588826187986,0.8950727879528001,26.46371859526255,25.15633442930215,50.0,0.14736672410937227,-22.643183340996284
17.0,-5.807163769144533,3.922096391161754,0.8945257280231107,26.53848950413999,25.176289959457563,50.0,0.16010735607000331,-22.77625606184706
18.0,-5.829884277480345,3.923570293397301,0.8939801168155254,26.611742191147243,25.197257170953435,50.0,0.17250730522194543,-22.87396076506587
19.0,-5.846164233095107,3.92497665280436,0.8934483607162076,26.683537287890545,25.218994081734706,50.0,0.1843195735363173,-22.9460581233582
20.0,-5.0349433677399205,3.925361663462143,0.892940150900585,26.753919377551142,25.240645376689884,50.0,0.16324047964390126,-19.76397367342926
21.0,-4.218491395791481,3.9256318329860256,0.8924624633333507,26.822926218359555,25.262310436131088,50.0,0.1399247004836259,-16.560244110496686
22.0,-3.3982911721800257,3.9257769228465205,0.8920195587684621,26.890596646465212,25.284174386740915,50.0,0.11471735234252393,-13.340933060857397
23.0,-3.3982911721800257,3.9267218939140105,0.8916129827491415,26.95697050954078,25.306384799541718,50.0,0.11931030287641961,-13.344144347694014
24.0,-3.3982911721800257,3.927547032120974,0.8912415656078763,27.022088666782224,25.329051689895437,50.0,0.12337654635332929,-13.346948407578566
25.0,-3.3982911721800257,3.928265269697637,0.8909014224664182,27.08599298890863,25.352247517503656,50.0,0.12697323220452555,-13.349389187994866
26.0,-3.3982911721800257,3.928897819519966,0.8905859532357844,27.148726358162378,25.376007186407662,50.0,0.13019487698326795,-13.351538776472053
27.0,-3.3982911721800257,3.9294741751096653,0.8902858426162561,27.210332668309093,25.400328044988214,50.0,0.1331733643648,-13.353497400584564
28.0,-3.3982911721800257,3.93003211063418,0.8899890600973798,27.27085682463769,25.425169885965886,50.0,0.1360779451463582,-13.355393427952167
29.0,-3.3982911721800257,3.930616339790761,0.8896812863178257,27.330343372419577,25.45046642144598,50.0,0.13910923084978521,-13.357378808737508
30.0,-3.3982911721800257,3.931213547463105,0.8893666297278091,27.38882582905069,25.476226972781035,50.0,0.14220801112279197,-13.359408294298392
31.0,-3.3982911721800257,3.931802088560661,0.8890519731377924,27.446339364093035,25.502447495061176,50.0,0.14527733985120345,-13.361408328314681
32.0,-3.3982911721800257,3.9323820473075357,0.8887373165477758,27.502919347234638,25.529111534890262,50.0,0.1483175032530583,-13.363379197004415
33.0,-3.3982911721800257,3.932953507115037,0.888422659957759,27.558599863455072,25.556201348728678,50.0,0.15132878478426698,-13.365321183823502
34.0,-3.3982911721800257,3.9335165505816687,0.8881080033677424,27.61341371302558,25.58369790289339,50.0,0.15431146513859656,-13.36723456946571
35.0,-3.3982911721800257,3.934071259493136,0.8877933467777257,27.667392411509184,25.611580873557898,50.0,0.15726582224768892,-13.36911963186268
36.0,-3.3982911721800257,3.9346177148223447,0.8874786901877091,27.72056618976052,25.639828646752278,50.0,0.16019213128105023,-13.37097664618392
37.0,-3.3982911721800257,3.9350422570528827,0.8872014347709595,27.772963993925828,25.668418318363194,50.0,0.16257704403048445,-13.372419364298175
38.0,-1.3878316032635187,3.9328928204533984,0.8870239467059302,27.824593450071347,25.695279604516543,50.0,0.0636582725928376,-5.458192948473422
39.0,0.6226279656529883,3.9303793869720187,0.886966138547509,27.875420454098617,25.7191943330983,50.0,-0.0270303025489388,2.447164121954827
40.0,2.6330875345694955,3.9274994620934973,0.8870302155422346,27.92542202084178,25.74141363818154,50.0,-0.10655906862754268,10.341449875666786
41.0,2.6330875345694955,3.9265696001454047,0.8872006921049708,27.974589568547856,25.762902555182052,50.0,-0.1036617810108726,10.339001467762394
42.0,2.6330875345694955,3.925428040495625,0.8874443918189077,28.022928916758588,25.784339483726114,50.0,-0.10001427184812567,10.335995641278592
43.0,2.6330875345694955,3.924232071354863,0.8877104474355608,28.070460286310265,25.806116187650787,50.0,-0.09616463268414227,10.332846549842321
44.0,2.6330875345694955,3.923065703083015,0.8879717537659786,28.1172182993339,25.828337795003733,50.0,-0.09240544048549625,10.329775400085001
45.0,2.6330875345694955,3.9218578274574214,0.8882514076059477,28.16324248190756,25.850766117383102,50.0,-0.08848864519241757,10.32659495783194
46.0,2.6330875345694955,3.920749686848003,0.8885025170798896,28.208550791145854,25.873476860412552,50.0,-0.08490962074155947,10.32367712660673
47.0,1.7553916897129964,3.9208274899054087,0.8886926483749049,28.253179352469544,25.89715888024756,50.0,-0.05640923377288621,6.882587992578222
48.0,0.8776958448564974,3.921144630138246,0.8888072041392238,28.29716668878899,25.92211781517102,50.0,-0.02838242443269404,3.441572348953706
49.0,-1.4802973661668755e-15,3.921689175564542,0.8888494234822057,28.340551817775633,25.948231760948886,50.0,4.861259851305255e-17,-5.805266157513337e-15
50.0,-1.4802973661668755e-15,3.9214055422774377,0.8888403819743396,28.383374231245796,25.974952304674503,50.0,4.8206121025474564e-17,-5.8048462959054785e-15
51.0,-1.4802973661668755e-15,3.921161984096645,0.8888189916472431,28.42566203910212,26.00183525847973,50.0,4.7877246536801103e-17,-5.8044857573719436e-15
52.0,-1.4802973661668755e-15,3.920816385522701,0.8888317026207386,28.467427232352975,26.028853226109618,50.0,4.7346841857454566e-17,-5.803974168713183e-15
53.0,-1.4802973661668755e-15,3.9204176937329565,0.8888631974634468,28.508685432862706,26.05596913749514,50.0,4.67100377184739e-17,-5.8033839863069115e-15
54.0,-1.4802973661668755e-15,3.9200849261590958,0.8888740663157163,28.549454903215178,26.083286227692213,50.0,4.6201353621954656e-17,-5.80289139134378e-15
55.0,-0.4806256188356104,3.920447248662999,0.8888350949320729,28.589756546713545,26.111048036881698,50.0,0.015193610949651567,-1.8842673850010199
56.0,-1.3056345422308366,3.9214066645809313,0.8887274444845967,28.629614674039487,26.139661388752018,50.0,0.042667118570935414,-5.119923995411076
57.0,-2.377404886181898,3.922876750109085,0.8885426515629219,28.669065208535585,26.16954876413564,50.0,0.08162605364629366,-9.326266353598703
58.0,-3.145361895367273,3.9242286511926796,0.8882826281742365,28.70814593199441,26.200609209734466,50.0,0.1130632510921977,-12.343119268169964
59.0,-3.6956271376231977,3.925519118168139,0.887959661743283,28.74689039210631,26.232683009336483,50.0,0.13880574643806406,-14.507254982360859
60.0,-4.089909412820038,3.9267461727356903,0.8875962006366749,28.78532829759365,26.265621796155756,50.0,0.1601198393993949,-16.06003613362676
61.0,-4.372425008202845,3.927905412686184,0.8872098167653318,28.823485518210816,26.299288552832365,50.0,0.17793844132803996,-17.174471856284388
62.0,-4.574856278020023,3.9290268560766446,0.8868022584514235,28.86138408474426,26.33355761143241,50.0,0.19317146553260103,-17.97473317903151
63.0,-4.719904621083241,3.930130273197372,0.8863751379298118,28.8990422307441,26.368322366341033,50.0,0.20652006514546736,-18.549840037923417
64.0,-4.823836300434887,3.9312260628903153,0.8859308321612739,28.936476273217068,26.403537090260556,50.0,0.21849677822731137,-18.963590987386024
65.0,-4.898306602850855,3.9323173083768346,0.8854724828325025,28.9737021269857,26.439165866826784,50.0,0.22946031827318752,-19.26169583612695
66.0,-4.951666906239796,3.9334012503226603,0.8850039963561055,29.0107342681016,26.475169018789643,50.0,0.23964708081905953,-19.476892800184956
67.0,-4.989901234359689,3.9344703423350547,0.8845300438706064,29.047585675550295,26.511504490580478,50.0,0.24919715695202996,-19.632618417769276
68.0,-5.017297327596343,3.935513007259587,0.8840560612404441,29.084267831250827,26.54812784831182,50.0,0.2581747977481019,-19.745638894044173
69.0,-5.036927486187806,3.9365141790904388,0.8835882490559728,29.120790720055993,26.58499227977751,50.0,0.2665840717226411,-19.827936468428657
70.0,-5.0509931094501175,3.937455691266117,0.8831335726334619,29.15716282975228,26.622048594452735,50.0,0.2743806469042622,-19.888061565350306
71.0,-4.609082301176627,3.937807162990738,0.8826997620150966,29.193388372461868,26.658883523268344,50.0,0.25399454650066094,-18.149677300387154
72.0,-4.162651899832565,3.9380545572118213,0.8822946444715865,29.229458841708094,26.694902169590648,50.0,0.23210910670262644,-16.39275028422208
73.0,-3.7129830685423855,3.9382159077290764,0.8819132096756745,29.265366538800265,26.73043516493425,50.0,0.20905096458552705,-14.622528985662342
74.0,-3.7129830685423855,3.938824377245065,0.881548219680722,29.301107557737055,26.76576223819319,50.0,0.21266540326756242,-14.624788222672931
75.0,-3.7129830685423855,3.9393873043450283,0.88119519136389,29.336681709857714,26.801080474581966,50.0,0.21606633022166197,-14.62687836146392
76.0,-3.7129830685423855,3.939916876994841,0.8808502543721987,29.372092523842127,26.836504315635068,50.0,0.21931336971384396,-14.628844655746237
77.0,-3.7129830685423855,3.9404233557681443,0.8805101511225258,29.40734724571081,26.872065559207215,50.0,0.2224567144312868,-14.630725202856087
78.0,-3.7129830685423855,3.9409150738463494,0.8801722368016084,29.442456569872434,26.907716586503682,50.0,0.225537125482344,-14.63255094375496
79.0,-3.7129830685423855,3.941398437018635,0.8798344793660415,29.477426126548664,26.943444928703627,50.0,0.22858593239653094,-14.634345663029613
80.0,-3.7129830685423855,3.9418779236819463,0.8794954595422789,29.51225996961068,26.979265196303288,50.0,0.23162503312452817,-14.636125988892081
81.0,-3.7129830685423855,3.942356084840999,0.8791543708266325,29.54696364948444,27.015174771388956,50.0,0.23466689403819124,-14.637901393179677
82.0,-3.7129830685423855,3.942833544108275,0.878811019485273,29.58154252664366,27.051171171270596,50.0,0.23771454993053598,-14.639674191354992
83.0,-3.7129830685423855,3.943308997704026,0.8784658245542294,29.616001771609888,27.08725204848224,50.0,0.24076160401574834,-14.641439542505893
84.0,-3.7129830685423855,3.943779214456271,0.8781198178393893,29.650346363861445,27.123415139824886,50.0,0.24379222792918268,-14.643185449345523
85.0,-3.7129830685423855,3.9442390358007975,0.8777746439164987,29.684581086056596,27.159655788672808,50.0,0.24678116172735856,-14.644892758212304
86.0,-3.7129830685423855,3.94443842149474,0.877513487546003,29.718710316921033,27.195924630865477,50.0,0.2484911466149689,-14.645633073918022
87.0,-1.7082957878529375,3.9418657719970116,0.877421358308763,29.75271830653719,27.22986551695078,50.0,0.11009012045428329,-6.7338726945841625
88.0,0.2963914928365104,3.938905481647389,0.8774580880014369,29.786528680120682,27.259482583808165,50.0,-0.018212484733635785,1.1674580758473836
89.0,2.3010787735259584,3.9356712517079018,0.8775871137535306,29.820051428514546,27.285313929973654,50.0,-0.13365617692535162,9.056289576881392
90.0,2.3010787735259584,3.9345224853180083,0.8777761987516438,29.85323760731734,27.30926439902055,50.0,-0.1305776754942772,9.053646174925868
91.0,2.3010787735259584,3.9332864397985854,0.8779974322394698,29.886074943959045,27.332910293105442,50.0,-0.12722436170359125,9.050801936818011
92.0,2.3010787735259584,3.9320360743479386,0.8782272295177955,29.918567162133968,27.35702393133431,50.0,-0.12381839066658851,9.047924747420378
93.0,2.3010787735259584,3.930830767476465,0.8784463319445014,29.950733896221664,27.381573047300776,50.0,-0.1205407126657348,9.045151241362845
94.0,2.3010787735259584,3.9297163170066525,0.8786398069345615,29.982596962521825,27.406170983955178,50.0,-0.1175310731526681,9.042586803042614
95.0,2.3010787735259584,3.928724940073084,0.8787970479600435,30.014162413892507,27.430970746173955,50.0,-0.11488801274820572,9.040305566624216
96.0,2.3010787735259584,3.927875273122431,0.878911774550109,30.045444610688776,27.456153953048442,50.0,-0.112668867242333,9.038350416039503
97.0,1.534052515683972,3.9280368105060455,0.8789820322910128,30.0764634179547,27.48200117262371,50.0,-0.07525260592708627,6.0258147508560445
